GeneSymbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
PRAME	1.73120715504038	2.56195273833672	8.2141016374656	1.89941855183021e-15	5.60273891797043e-14	24.3101616749861
LRRC7	1.72611184732665	4.95838620689655	10.1884811295683	3.0077377770385e-22	2.15905092876225e-20	39.7165759586985
FAM19A5	1.7202010790866	6.83792251521299	14.2273433281822	1.00955043884659e-38	3.83816120546676e-36	77.1901724241784
LRRC31	1.71610968741297	4.72895598377282	8.93443210405411	8.21289408514798e-18	3.47650959934202e-16	29.6581703239871
EBF2	1.69002428118907	3.36990141987829	11.1695231790289	5.67044293976026e-26	6.06967072471276e-24	48.1768092683418
F3	1.68582323343077	11.0487178498986	11.6553150722521	6.84670409342449e-28	9.01043814346184e-26	52.537498576478
GPR116	1.68333405910607	8.98625963488844	12.0253535665278	2.20902602190845e-29	3.43570486589245e-27	55.9291635982733
AGR3	1.68051884398496	5.65577971602434	7.82493089863787	3.12865485561722e-14	7.86184628957423e-13	21.5623851593513
PPYR1	1.67910901211361	6.51259350912779	8.38164202984954	5.5144588913415e-16	1.75522234169366e-14	25.524239525878
FOXB2	1.67519615357838	1.97111318458418	10.0188326666041	1.26086867351004e-21	8.32335494120937e-20	38.3039378498916
POPDC3	1.67437759502923	4.42737931034483	10.3186387004079	9.91332342659424e-23	7.53779740548073e-21	40.8108051175195
ADD2	1.65941424568364	5.01704482758621	11.266741106762	2.36310609188504e-26	2.60831011109677e-24	49.0408293250836
ULBP2	1.65752182017542	3.0176509127789	13.2713469040917	1.40962655987954e-34	3.61745415929086e-32	67.7517305374275
SLC27A6	1.65507607038428	5.48064158215011	11.0962021742661	1.09407126901152e-25	1.14016665750287e-23	47.5281095630528
MGAT5B	1.65375295356446	4.21389026369169	13.4112620222625	3.55178755686735e-35	9.85381061384955e-33	69.1146695525468
RGS17	1.65169445488721	5.46518235294118	12.3707839674817	8.5079977651237e-31	1.5321859133157e-28	59.1468724271666
ARSH	1.65142241367307	1.57986227180527	16.9350704912819	5.02266417848478e-51	5.72862753246069e-48	105.219126361445
DLX1	1.65032732177665	7.9952200811359	8.15801667503495	2.86189041622102e-15	8.17171213421661e-14	23.9078856857674
FOXD1	1.64656448238651	5.43211338742394	7.90985124291274	1.71236046501118e-14	4.45560967638525e-13	22.1532143963978
ADAM2	1.64511621936785	3.19936146044625	7.60181280654549	1.48927058146737e-13	3.3415000041011e-12	20.0338038229015
